name,description,cuisine
Ulawa Charu Recipe - Horse Gram Rasam (recipe in hindi),Ulava Charu is a recipe of Karnataka in which Kulith's dal is cooked like stew. Kulith water is cooked in onion tomatoes and coconut paste. It is easy to make and is considered very good for health.,South Indian Recipes
Wali Bhaji Ambat Recipe - Vali Bhajji Ambat (Recipe in Hindi),"Wali Bhaji is Ambat Konkan Curry in which spinach is used. Malabar spinach is used in this, which increases the taste of this dal even more. It is easy to make, so you can also make it for your daily meal. Roasted coconut masala is also added to it.",Malabar
Gujarati Kadhi Recipe - Gujarati Kadhi Recipe,"Gujarati Kadhi is a sweet and sour curry made of curd. In this, sweetness comes from Gudh and pungentness with green chillies. This is served with rice or khichdi. You can make it with vegetables and roti for daily food.",Gujarati Recipes﻿
Varan Bhaat Recipe - Maharashtrian Dal Recipe,"Varan Bhaat Recipe is a simple and quick Goan/ Maharastrian staple of dal and rice that is typically made during festivals and other special occasions. It is a chief component of the traditional offering to God known as “naivedyam.” While it is common for some to add a tempering of curry leaves to this, the classic preparation is simple, without any tempering, allowing the delicious, comforting flavours of the lentils to shine through. Make Varan Bhaat along with Potato Fry and Plain Steamed Rice for a simple homely meal.",Goan Recipes
Baran Bhat Recipe - Varan Bhaat Recipe,"But Bhat is a simple and early Goan recipe that is made mostly festivals or any special day. It is offered to God, then it is consumed. You can also add a temper of curry leaves to it, but mostly it is not added to it.",Goan Recipes
Spicy Paneer Bhurji Pav Sandwich Recipe - Breakfast Recipe,Spicy Paneer Bhurji Pav Sandwich Recipe is a real treat of a breakfast or snack box option. It works for adults and kids alike.,North Indian Recipes
Chocolate Dipped Eggless Coconut Macaroon Recipe,"Macaroons are basically small circular cake which is usually made with almonds, coconuts, nuts with sugar, egg white and flavors optionally. Macaroons are also made with potatoes. Chocolate Dipped Eggless Coconut Macaroon Recipe has a twist of cardamom flavor which taste yummier with coconut and chocolate. It is a good party food idea for kids’ birthday parties.",Fusion
Financiers Recipe - French Almond Tea Cake,"The Financiers Recipe are classic tea time cakes, that you would find in a French Patisserie that you can dip into your tea or have to along with your Espresso coffee. These tea time cakes look more like biscuits but are essentially sponge cakes that are made from almond flour.   a French Almond Tea Cake) A financier is a small French cake. If you don't get the special Financiers Molds to make the bite size French Almond Tea Cake, then you can always use mini muffin molds and savor them too.",French
Ice Cream Tea Float Recipe,Ice Cream Tea Float Recipe is a brilliant combination of Ice cream in Tea. The drink is neither a Latte nor a Smoothie and not even an Ice tea but a mix of all in one. Once the tea is brewed it is added into the serving glass and mixed with an aerated soda and finally topped with a big scoop of ice cream. Thus the name Ice cream Tea Float describes the drink aptly. So as you take a sip of the drink you will enjoy the refreshing tea flavour along with the rich creamy Ice cream.,European
Frozen Strawberry Souffle Recipe,"This Frozen Strawberry Souffle is a light and creamy no bake dessert that looks like a souffle with none of the hassle of whipping eggs or the fear of it deflating before you are ready to eat. Perfect for the seasonal strawberries and the fast rising temperatures! This souffle is made with strawberry puree and whipped cream , set using some gelatin or agar agar. The souffle look is achieved by a simple parchment collar around the serving dish. It is a great make ahead dessert that tastes like ice cream when stone cold and more like a mousse as it starts warming up. ",French
Nutty Pineapple Tutti Frutti Cake Recipe (White Fruitcake),"Nutty Pineapple Tutti Frutti Cake recipe is a great tea time cake with added tutti frutti, preserved pineapple bits, and a lot of mixed nuts as well, making it a tea cake recipe which you will ask for more. This fruitcake is white or light in color, instead of yellowish store bought fruit cake and looks absolutely beautiful with various embedded fruits and nuts.",Continental
MUGHLAI Aloo Lajawab Recipe - MUGHLAI Aloo Sabzi Recipe,"Mughlai Aloo Lajawab Recipe is a rich and luscious potato gravy, which originates from the house of Nawabs. The potatoes are roasted and then simmered in a thick cashew, cream, tomato based gravy.",Mughlai
Idli Tikka Recipe With Sambar,"Idli Tikka Recipe was innovated when I wanted to serve idli in a different style to my kids. To the kids who love eye-appetizing recipes and a bit skeptic towards the traditional recipes, it is actually a lot easier to stuff all the good stuff, by a recipe like this one. This extraordinary and eye-catching recipe of Idli Tikka is arranged on the dessert bowls and poured with sambar on top. I have given you the recipe of tomato & vegetable sambar as well.",Fusion
Baingan Bharta Recipe - Smoked Roasted Eggplant with Green Chillies and Ginger,"Baingan Bharta is a classic Punjabi Recipe that is made from smoked and chargrilled brinjals then mish-mashed and cooked along with a combination of spices. The main ingredient of the Baingan Bharta that adds to its flavours is the green chillies, ginger along with finely chopped tomatoes and coriander powder. Every region in india has their own version of Baingan Bharta and this is our family recipe for making delicious Baingan Bharta.",North Indian Recipes
Orange Mocktail Recipe,"Orange Mocktail is a refreshing mocktail made with the combination of fresh orange juice and mint. Beverages quench your thirst in colourful spring or in hot summer or warm you up in cold winter. Right from classic mocktails to fresh juices to hot brews, there is a drink for every mood and season.",Continental
Orange Mocktail Recipe,"Orange Mocktail is a refreshing mocktail made with the combination of fresh orange juice and mint. Beverages quench your thirst in colourful spring or in hot summer or warm you up in cold winter. Right from classic mocktails to fresh juices to hot brews, there is a drink for every mood and season.",Continental
Gujarati Kadhi Recipe - Sweet and Spicy Gujarati Kadhi,"Gujarati Kadhi is a yogurt based sweet and spicy curry that is simple yet irresistible; it gets the sweetness from jaggery, the spice from cinnamon and the heat from green chillies and lends itself to a pure comfort meal.",Gujarati Recipes﻿
Peanut Butter Chocolate Oatmeal Bars Recipe,"Peanut Butter and Chocolate Oatmeal Bars are simple, delicious snack made with oatmeal and dry fruits. Packed with proteins, and good fats, these energy bars are very easy to prepare and can be stored and eaten at any other time as well.",Continental
Andhra Style Aratikaya Vepudu Recipe - Raw Banana Dry Sabzi,"Aratikaya Vepudu is a Andhra Style Raw Banana Dry Sabzi. It is a simple recipe but tastes amazing as such or when paired with rice and dal/rasam. Its spicy, little crispy yet soft from inside. It is a perfect sabzi to pack in your lunch box too.",Andhra
Shredded Chicken Tostadas Recipe,"Shredded Chicken Tostadas Recipe are Crunchy tostadas with delicious refried beans, shredded chicken, crunchy veggies and topped with guacamole, fresh salsa and sour cream, that’s one delicious finger food for any party. Adding the topping in layers makes every bit interesting. The deliciousness of beans, those yummy simple flavored shredded chicken and the other toppings makes this dish one perfect starter.",Mexican
Turmeric Milk Recipe - Haldi Doodh / Golden Milk,Turmeric Milk (Haldi Doodh also known as Golden Milk) is a very popular medicinal ayurvedic drink that is had most often when you have a bad cold or a cough. But personally I make sure I serve this herbal spice drink to my children when the seasons are about to change.,Indian
Ragi Rava Idli Recipe - Steamed High Protein Finger Millet Idli,The Ragi Rava Idli Recipe is a healthy preparation of the traditional Rava Idli that is made from Ragi Flour and Sooji.,South Indian Recipes
Ribs With Guava Barbecue Sauce Recipe,Ribs With Guava Barbecue Sauce Recipe is a non vegetarian delicacy which has Chinese flavours embedded in lamb ribs marinated in a guava sauce and barbecued again. This adds in a fruity and smoky flavour to the lamb barbecue. This recipe is apt to be in the barbecue party menu. Ribs With Guava Barbeque Sauce Recipe is served with rice and salad with lemon wedges to make it a complete meal.,Continental
Eggless Easy Chocolate Cake Recipe - Vegan Option,The Easy Chocolate Cake Recipe is one of the most simple cake recipes that you can make with or without eggs. To make the cake moist and airy I used the flax meal egg replacer that is the closest ingredient that works to replace eggs to some extent.,Continental
Sweet & Spicy Stuffed Paneer In Kofta Curry Recipe,"Stuffed Paneer In Kofta Curry Recipe is a unique way of preparing and presenting your paneer dish. In this recipe, paneer is  stuffed with dry fruits and spices which is placed in rich and creamy gravy. ",North Indian Recipes
Tomato Onion Cucumber Raita Recipe,"The Tomato Onion Cucumber Raita is a cooling, healthy and delicious yogurt salad that makes a perfect accompaniment to all flavoured rice and parathas. The addition of green chillies and cumin powder in the tomato onion raita gives it a zing to the palate. You can garnish the raita with some coriander or mint leaves if you like.",Indian
पोट्टू कडलई चटनी रेसिपी - Roasted Chickpea Chutney Recipe ,"पोट्टू कडलई चटनी रेसिपी एक सरल चटनी है जिसे दक्षिण भारत के हर घर में बनाया जाता है. आप इस चटनी को इडली, डोसा, उत्तपम, पनियारम या अपने खाने के साथ साइड डिश के जैसे परोस सकते है. ",South Indian Recipes
Gurellla Chutney Podi Recipe,"Uchellu or Gurellu Chutney Podi/Karale or Khurasni Chutney powder/Kala Jeera Seeds powder, one of a family of dry chutneys that are very popular in North Karnataka and Maharashtrian homes. A scoop of this flavourful chutney can liven up even the simplest of meals. Its tasty, spicy and full of flavours.",North Karnataka
Uchellu Chutney Recipe,"Uchellu Chutney Recipe made of Kala Jeera Seeds is a popular chutney accompaniment made in North Karnataka regions. Uchellu Seeds are a black thistle seed variety known for its distinct flavour and smell. This chutney is popularly made along with jowar roti, akki rotti, kadubu or chapatis. It is a great accompaniment for breakfast or tea time.",North Karnataka
Crispy and Spicy Chilli Chicken Recipe - Indian Style ,Crispy and Spicy Chilli Chicken Recipe is a wonderful twist to regular chilli chicken recipe. Made with Indian spices and a generous topping of fried onions and curry leaves ,Indian
Roasted Eggplant & Olive Lasagna Recipe,"The Roasted Eggplant Lasagna In Tomato Basil Sauce Recipe is a delicious layered dish with roasted eggplants, bell peppers, basil sauce and of course lots of cheese. There are multiple ways to roast the eggplant, you can either slice them thin and roast it in a pan or finely chop them and roast it in a wok. I personally prefer roasting the eggplant in a wok, as it not only cooks faster, but is also easy to take a but when you serve the Eggplant Lasagna.",Italian Recipes
Bhel Puri With Raw Mango Recipe,"Bhel Puri is a popular street food which is loved and enjoyed by everyone. Bhel puri is a snack made with puffed rice, onions, cucumbers tomatoes and sweet and spicy chutney. To give the regular bhel puri a twist, we added raw mangoes which makes this bhel puri more delicious.",North Indian Recipes
Roasted Tomato Basil Pasta & Pizza Sauce Recipe,"In the Roasted Tomato Pasta Sauce Recipe, the rich red and ripe tomatoes are roasted in the oven and pureed to get the ever so delicious sauce that can be used on pizza or in as a pasta sauce.",Italian Recipes
Eggless Chocolate Banana Cake Recipe ,"Eggless Chocolate Banana Cake Recipe is a double chocolate cake with a hint of banana in it. A simple moist cake, this is perfect for your next Tea Party. Or it can also be sliced, and stored in an airtight box in the refrigerator for later use.",Continental
Ragi kuzhi paniyaram recipe with ragi dosa batter,"Healthy Ragi Kuzhi Paniyaram Recipe is a very traditional South Indian breakfast dish, that breaks the monotony of idli and dosa.",South Indian Recipes
Chocolate Salted Caramel Tart Recipe,Chocolate salted Caramel Tart is a sinful dessert made by filling buttery sweet pastry with gooey caramel and rich dark chocolate ganache. The salted butter compliments the sweet caramel and bittersweet ganache. The different components can be made ahead.You can also garnish the tart with coarse sea salt crystals.,French
Gambang Recipe Bread (Indonesian Bread Recipe),"Roti Gambang is one of the traditional breads of Indonesia. This recipe of Gambang dates back to Dutch colonial era. Roti Gambang is traditionally best had with coffee or tea for breakfast, or with a hearty soup like Israeli Couscous Minestrone Soup Recipe for dinner.",Indonesian
Orange Yogurt Cake Recipe,"Orange Yogurt Cake Recipe is very delicious, soft and spongy. Addition of  orange zest and juice is very refreshing. This easy to make simple recipe is very good to go with tea party or to satiate mid day sweet cravings. Serve Orange Yogurt Cake Recipe over tea along with Zucchini Parmesan Crisps (Chips) Recipe or Garlic & Ginger Spiced Potato Wedges Recipe (Baked) during evening.",Continental
Herbed Spaghetti With Cheese Balls In Tomato Basil Sauce,Herbed Spaghetti With Cheese Balls In Tomato Basil Sauce makes for a wholesome meal with cooked spaghetti topped with creamy tomato sauce and cheesy mixed veg balls. ,Italian Recipes
Kaju Pakoda Recipe (Cashew Nut Fritters),"Kaju Pakoda Recipe (Cashew Nut Fritters) is a tasty Indian snack recipe. This recipe are prepared similar to Gujarati Sing Bhujia recipe, but here the addition of ginger garlic paste, fennel seeds and pudina leaves add a different zing to the fritters. To make these crunchy masala cashewnuts, use as little water as possible while making the batter such that the pakora crisps up. Serve the Kaju Pakoda Recipe (Cashew Nut Fritters) along with other tea time snacks for kids and with added masala chai for the whole family.",Indian
Mushroom Masala Cheese Omelette Recipe,"Mushroom Masala Cheese Omelette Recipe is a wholesome and high protein omelette that is packed with taste from mushrooms, green chillies and coriander. The addition of cheese adds to the creaminess and fluffiness.  ",Continental
Garlic & Ginger Spiced Potato Wedges Recipe (Baked),"Garlic & Ginger Spiced Potato Wedges are a very simple recipe and easy to make. You will avoid eating those deep fried wedges in restaurants once you start making variations of baked potatoes at home. The baked potato wedges are crispy on the outside and tender and soft on the inside. You have to finish them soon when they are still hot. After they cool, they lose their crispiness. This guilt-free potato recipe makes an excellent option for a tea party or is a great idea as an evening snack. This can be served along with various dips like cottage cheese dip, yogurt dip, or tomato sauce. It is famous among kids too, like any other potato recipe is. Go ahead, impress your family and guests by cooking healthy.",Continental
"Eggless Strawberry, Rose And Pistachio Cake Recipe","Strawberry, Rose and Pistachio Cake is a delicious,aromatic eggless cake recipe perfect for the summer parties. The batter for this cake is quick and easy to make and the cake is baked in a short span of time. The aroma of rose petals and juiciness of strawberry make this cake really delectable. The pistachio provides the right crunch to the cake.",Continental
Baked Samosa Pinwheels Recipe,"Samosa is a fried or baked dish with a savoury filling, such as spiced potatoes, onions, peas or minced meat. But here to make it Jain, I am using raw bananas instead of potatoes. Samosa Pinwheels is a slight alternation to the traditional Samosa and is as delicious as the traditional samosas and yet they are quite easy than the samosa as the outer cover making is not hard as samosas. The stuffing looks like pinwheel and also the each pinwheel is bite size and hence the name. Samosa Pinwheels are a rich party appetizer and snack too! Also to make it healthier, I'm using baking method to make these pinwheels.",Indian
Æbleskivers Recipe- Danish Chocolate Pancake Puffs,Æbleskivers Recipe-Danish Chocolate Pancake Puffs are danish desserts made using pancake batter to form small round shaped light puffs. It is traditionally cooked in a cast iron Æbleskiver mould pans resembling our paniyaram pans and served during the Advert.,European
Fruit Sandwich Recipe,"Fruit sandwich makes a filling breakfast. Just cut the fruits, apply jam to the bread slices, and assemble the sandwich. You can have it just like that or grill and have it hot. Kids love this sandwich due to its sweet taste. So if you are looking for ideas to make your kids eat healthy food, this fruit sandwich is a must try.",Continental
Cranberry Cookie Recipe,"Cranberries Cookies are easy to bake delicious cookies, which look beautiful with red color cranberries embellished on each cookie. Cranberries are often part of holiday treats, extensively used to make cranberry sauce, cranberry drinks and dried cranberries are also added to stuffing, casseroles or dessert. Cranberry Cookies has a hint of tartness to them and are usually favorite of the kids. ",Continental
Classic Chettinad Seepu Seedai Recipe,"Seepu Seedai is a popular South Indian Snack that resembles pebbles and is very popularly prepared during the festive seasons. This gluten free fried snack just melts in the mouth, and is made widely during Janmashtami. There are so many different varieties of seedai and this recipe of Classic Chettinad Seepu Seedai is a Chettinadu recipe where the seedai dough is made using freshly extracted coconut milk. Special Seepu Seedai press is used to shape the seedai. Seepu in Tamil language means comb. As the seedai have comb-like line impressions on them, it is called Seepu Seedai. If you do not have a Seepu Seedai press you can try shaping them using your finger and giving the line impressions on them using a fork. ",Chettinad
Muhammara Recipe - Roasted Red Bell Pepper & Walnut Dip ,"Muhammara Recipe, is a Middle Eastern dip made by pulsing roasted red bell peppers along with walnuts flavoured with some spicy red chilli flakes, sweet jaggery and tangy lemon juice. A velvety and healthy dip that can be served at your parties with Pita bread or pita chips or even with vegetables. ",Middle Eastern
"Stuffed Pita Recipe With Tandoori Mayo Chickpeas, Pickled Onions and Vegetables","Stuffed Pita Recipe With Tandoori Mayo Chickpeas is a high protein one dish meal. Pita makes a great base for a sandwich and can be filled with a variety of ingredients. They make it easy to fill, hold and eat. Sandwiches can make great one dish meal that can be filling and great for weeknight dinners or even a lunch box to work or a picnic meal.",Continental
Vegetable Manchurian Balls in Hot and Spicy Garlic Sauce,Vegetable Manchurian Balls in Hot and Spicy Chilli Garlic Sauce is a classic recipe from the Indian Chinese Cuisine. The Vegetable balls are made from a combination of finely minced vegetables that are deep fried and served as a main course dish in a chilli garlic sauce.,Indo Chinese
Kung Pao Tofu With Vegetables Recipe,"Kung Pao Tofu is a traditional chinese dish that is stir fry made into a spicy sauce combined with peanuts, vegetables, tofu and chilli peppers. Although the dish is found throughout China, I believe there are regional variations of this dish that is typically less spicy than the Sichuan. The combination of stir fried vegetables along with the nutrition and protein packed Tofu makes this dish wholesome and delicious when served along with brown rice. ",Chinese
Tofu Mushroom Curry Recipe in Ginger Mustard Sauce,The Tofu and Mushroom Curry in a Ginger Mustard is a super quick and nutritious recipe that you can make for dinner in less than 30 minutes. In this recipe the tofu and mushrooms are sautéed until cooked ans simmered in mildly spiced curry with mustard and soy sauce and flavoured with lots of ginger and sesame.,Asian
Sprouted Moong Chaat Recipe,Sprouted Moong Chaat is a healthy and tasty snack made using nutritious Moong sprouts. This is a fun way to include sprouts in your diet. The recipe is very versatile and you can change or adjust the ingredients according to availability and taste. You can add sweet corn to the chaat too. The Date and both the chutneys add the quintessential tangy-sweet-spicy taste to this chaat. These chutneys can be made in advance and refrigerated.,North Indian Recipes
Karamani Sundal Recipe - Spicy Tossed Black Eyed Beans Recipe),"Karamani Sundal Recipe - Spicy Tossed Black Eyed Beans Recipe is a healthy snack made by tossing the boiled black eyed bean with fresh grated coconut and tempered with mustard seeds, curry leaves and dry red chillies.The green chillies, the finely chopped ginger, and freshly grated coconut bring out the delicious flavors of this classic South Indian festive tea time snack. It is usually served as a Prasadam in many South Indian temples or it is made during the festival of Gollu (Navaratri).",South Indian Recipes
Foxtail Millet Upma Recipe,"Foxtail Millet Upma Recipe is a wholesome breakfast or dinner dish that can be made with just a few ingredients. With a little bit of planning by having vegetables chopped the previous night, preparing this dish in the morning for the family gives me a sense of satisfaction.",South Indian Recipes
Paneer Mushroom Stuffed Spinach Wrap Flavoured With Prunes,"Paneer Mushroom Stuffed Spinach Wrap which is packed with flavours from roasted mushrooms and sprunes and wrapped in a spinach roti. Perfect for a lunch box, kids after school snack or even a light weeknight dinner.",Continental
Whole Wheat Lemon & Cranberry Muffins Recipe,"The Whole Wheat Lemon & Cranberry Muffins Recipe are fantastic weekend breakfasts, specially if you do whole wheat and cut down on processed sugar in it. They are a perfect treat to the soul after a tiring week. The Whole Wheat Lemon & Cranberry Muffins have a special tartness from the lemon and cranberry and completely refreshing to the palate along with a cup of chai or coffee. Serve these Whole Wheat Lemon & Cranberry Muffins for breakfast, pack into a snack box or even serve it for the tea parties.",Continental
Chicken Spaghetti in Tomato Basil Sauce Recipe,Chicken Spaghetti in Tomato Basil Sauce Recipe is a wonderful recipe made with spaghetti pasta tossed in  a tangy tomato sauce. This dish gets its earthy flavour from the fresh basil leaves and dried rosemary. This will be your perfect weekend meal or a Sunday brunch.,Italian Recipes
Balinese Black Rice Pudding Recipe,"Balinese Black Rice Pudding is a wholesome dessert from Indonesia made from black rice cooked in coconut milk. The rice pudding is prepared by using the black glutinous rice which is blended with coconut milk, Pandan leaves(optional), Gula melaka ( Palm Sugar) and is garnished with a dollop of coconut cream and banana slices giving us this drool worthy pudding.",Asian
Black And Green Grapes Panna Cotta Recipe,"The best thing about spring is that you get to eat GRAPES! It's always good to eat fruits that are seasonal as you get the best quality at that time. Usually grapes have a sweet and tart taste, but when you buy them in season, they are like sugary sweet and you can't resist yourself from munching them. This antioxidant rich berry can be used as a between-meal snack, in salads, in custards, in fruit cream and many more",Italian Recipes
Butterscotch Marshmallow Mousse Recipe,Butterscotch Marshmallow Eggless Mousse is a perfect dessert for mousse lovers. The combination of marshmallows and butterscotch chips makes it soft yet crunchy at the same time. The flavours of butterscotch and marshmallows perfectly blend together to make a delicious drool worthy dessert.,Continental
The chetinad style tomato vermicelli upma recipe,"Chettinad Style Tomato Vermicelli is a spicy south indian style semiya upma that can be made for a special sunday breakfast. The Tomato Vermicelli is packed with flavors from the tomatoes along with the spices, making it rich and delicious.",Chettinad
Fizzy Pomegranate Mint Mocktail Recipe,"There are multiple ways that we can use Pomegranate to add value to taste and our health and this Fizzy Pomegranate Mint Mocktail Recipe is one of it. It has the fizz of aerated water, sweetness from the pomegranates, a minty flavour to savour the mocktail sip by sip.",Continental
Himachali Bhey Recipe - Stir Fried Lotus Stem ,"Himachali Bhey Recipe (Stir Fried Lotus Stem Recipe) is a recipe that hails from Himachal Pradesh. It literally means “In the Lap of Himalayas”. The food in Himachal Pradesh is simple home cooking. There are not much of spices used to make this recipe, making it very simple to make. ",Himachal
Eggless Peach Cobbler Recipe,Eggless Peach Cobbler is a delicious dessert recipe which is usually made with eggs to give a good taste to the dessert. It is a classic British dish where ripe peaches are cooked with cinnamon and nutmeg. The tart is filled with these freshly cooked peaches and is served with some ice cream on top. ,Continental
Beetroot Sambar Recipe - Tangy Beetroot Lentil Curry,Beetroot Sambar Recipe is a very traditional South Indian lentil curry made from beetroots that is cooked with tangy tamarind and flavored with homemade sambar powder.,South Indian Recipes
Eggless Cake Pops Recipe,Eggless Cake Pops is a recipe that turns your parties a rocking one. A stylish and colourful pops loved by children as well as adults. It can be stored and enjoyed for days easily. It can be made with variations. You can make it with wheat flour to make it healthy.,Continental
Crunchy Carrot Peanut Raita Recipe - Gajar Moongphali Raita,"Crunchy Carrot Peanut Raita Recipe is a refreshing raita recipe where we have used the grated carrots and flavoured the raita with the peanuts, red chilli mixture giving it a nutty taste. ",Indian
Delicious Breakfast Anda Ghotala Recipe With Butter Pav,"Anda Ghotala Recipe is a lip smacking dish made with eggs cooked three ways with  prominent flavours of pav bhaji that is used to make it. They eggs added to the anda ghotala are scrambled eggs, boiled eggs and fried eggs. ",North Indian Recipes
Kerala Style Coconut Milk Stew Pasta Recipe - Indian Style ,The Kerala Style Coconut Milk Stew Pasta Recipe is a delicious and lip smacking pasta recipe that is cooked in a coconut milk stew and packed with flavors from the vegetables. ,Fusion
Gilka Bhajji Recipe-Silk Squash Fritters,Slices of Gilka are dipped in a spicy chickpea flour batter and then deep fried to make these sinful Gilka Bhajji Recipe. They are typically made in most Maharashtrian households for a tea time snack or as an accompaniment with Rice-Dal or Kadhi.,Maharashtrian Recipes
Delicious Spicy Chyawanprash Cookies Recipe,"The Delicious Spicy Cookies Recipe is crunchy and made from Chyawanprash. Chyawanprash has a lot of spices that go into making it and adding to the cookie, gives all the natural taste and flavors, making it a great cookie to go along with some green tea or Darjeeling tea.",Continental
Mogre Ka Sharbat Recipe - Fresh Jasmine Drink ,"Mogre Ka Sharbat Recipe is a cooling Indian summer drink, made by dunking fresh jasmine buds in a sugar syrup.  This Mogre Ka Sharbat Recipe  is cooling and so soothing during the summer, that will leave you absolutely refreshed. ",Indian
Palak (Spinach) Puri Recipe,"Palak Puri Recipe are not regular puri recipe, they are attractive and delicious made up of whole wheat and palak or spinach. These puris turn out to be green on adding spinach pure. Spinach is rich in iron and supplies enough nutrients.Consumption of spinach regularly protects us from certain types of cancers, promotes bone and brain health, maintains blood pressure and since it is rich in vitamin A it also protects eye health.",Indian
Beetroot Gajar Mooli Salad Recipe - Radish & Beetroot Salad,"Indian Radish and Beetroot Salad Recipe is a very simple recipe, made with root vegetables - carrot, radish and beetroot. tossed in simple fresh flavour of lemon juice and green chilies and a little bit of crunch from some roasted peanuts.",Indian
Kadai Paneer Recipe - Spiced Cottage Cheese With Green Bell Peppers,"Kadai Paneer Recipe is a delicious North Indian dish that is made from fresh homemade paneer and sauteed with Green Bell Peppers and dried fenugreek leaves. Cardamom is crushed and added to this Curry, which gives it a nice taste and flavour.",Punjabi
Broken Wheat And Apple Porridge Recipe,"Broken Wheat and Apple Porridge Recipe is a delicious bowl full of health and goodness loaded with fiber, calcium and essential vitamins. Freshness of cinnamon and fresh fruits along with the crunch of muesli enhances the flavours of this porridge.",Continental
Kumbh Makai Masala Recipe - Baby Corn And Mushroom Tikka Masala,"Kumbh Makai Masala Recipe is one of my favorite dishes that is made atleast thrice a month in our Kitchen. The combination of fresh baby corn, along with green bell peppers and cauliflower corn, stir-fried and cooked in a tikka masala is absolutely delectable. You can also pack this delicious Sabzi in your Office Lunch Box.",North Indian Recipes
Minced Mutton Spring Rolls Recipe,"If you are craving for a delicious non vegetarian snack, then you must make these crunchy Minced Mutton Spring Rolls Recipe. The delicious filling used in the spring rolls is made of mutton, that is spiced with our everyday Indian spices. Crispy on the outside and soft inside, sounds only delicious right?",Indian
Dahi Batata Puri Chaat Recipe - Classic Indian Tea Time Snack,"The Dahi Batata Puri Chaat Recipe is a favorite street food specialty and is daily simple to make if you have all the ingredients ready. This batata puri chaat is a favourite street food of Mumbai, so much so that it has spread all over India and every chaat wala “Street Food Vendor” has his own version of it. This is an absolutely tangy, crisp and mouth watering dish that is savoured fresh, as soon as it is made.",North Indian Recipes
Apple Pocket Pie Recipe,"The Apple Pocket Pie Recipe is a simple recipe which makes a great dessert for the winters. You can also serve them for breakfast for special weekends. The Apple Pocket Pie is made very similar to the apple pie, but seems to have a full crust like a samosa giving it an added crunch.",Continental
Veggie Penne Pasta Recipe In Creamy Roasted Carrot Sauce ,Veggie Penne Pasta Recipe Creamy Carrot Sauce is a wonderful way to use vegetables as a sauce for the Pasta. We often add them into our pasta and is sometimes left out by the kids.,Italian Recipes
Tomato Onion Chutney Recipe - Thakkali Vengayam Chutney,Thakkali Vengayam Chutney Recipe also known as the Tomato Onion Chutney is a favorite side dish that is made from fresh tomatoes. The tomatoes are roasted along with  baby onions and green chillies and then ground into a chutney.,South Indian Recipes
Grated Cucumber Raita Recipe,"Grated Cucumber Raita Recipe is a tasty, simple and healthy raita recipe that can be had anytime of the year. It is especially beneficial when you have it with your meals during summers. ",Indian
Chatpata Rajma Salad Recipe - Kidney Beans Salad Recipe,"Chatpata Rajma Salad Recipe is a wonderful salad that can served along with any Indian main course. The rajma are soaked overnight and pressure cooked till it is soft but firm. We have added some onions, tomatoes for the texture and crunch.",North Indian Recipes
Chicken Learning Kebab Recipe - Chicken seekh kebab recipe,"Chicken learning kebab recipe is a flavor -rich starter in which you can make chicken with mint, coriander and heart leaf mixed kebabs. It also uses daily spices, which enhances it further. Its kebabs are made on the pan till they are brown.",Hyderabadi
Chicken seekh kebab recipe,Chicken Seekh Kebab Recipe is a super delicious kebabs which has a Tsunami of flavours packed into it. The spiced chicken is molded onto a long steel skewers and placed in tandoor or even over a BBQ grill and then cooked to perfection.,Hyderabadi
Cajun Style Potatoes Recipe,"These Cajun Style Potatoes is one of the tastiest and easiest side dish that can be made at a short notice since it requires just a few ingredients. Potato wedges, seasoned with cajun spice mix are baked in the oven instead of deep frying. You can adjust the seasoning according to your preference. You can use a ready-made Cajun spice mix or make your own homemade mix.",Caribbean
North Arcot Special Godumai Rava Puliyodharai Recipe - Broken Wheat/Dalia Puliogare,"Broken Wheat or Dalia is a popular grain in India and Middle East. High in fibre, Proteins and Vitamin B, it is also a wonderful weight loss option. We know eating dahlia is boring but you can always give it a twist to make it even more delicious. North Arcot Special Godumai Rava Puliyodharai is such recipe which will be loved by everyone in your family. If you have made a batch of Instant Puliyogare Podi, your North Arcot Special Rava Puliyodharai will be ready in a jiffy. Or you can use store bought Puliyogare powder as well. ",Indian
हरी मूंग दाल सुंदल रेसिपी - Green Moong Dal Sundal Recipe,"हरी मूंग दाल सुंदल रेसिपी एक बहुत ही सेहतमन्द रेसिपी है जिसे दक्षिण भारत के हर घर में बनाया जाता है. इसमें अंकुरित हरे मूंग को राइ, जीरा, और कढ़ी पत्ते की साथ पकाया जाता है. अंत में इसमें नारियल और निम्बू के रस को मिलाया जाता है. यह एक बहुत ही सरल रेसिपी है जिसे आप स्नैक के लिए भी बना सकते है. ",South Indian Recipes
Pineapple Kesari Bhath Recipe - Sweet Semolina Pudding,"Pineapple Kesari Bhath Recipe is one of the most common, traditional dishes in Karnataka. The Kesari Bhath is a must during weddings for breakfast and is usually served along with Khara bhath (upma).",Karnataka
Spinach & Apple Salad Recipe With Orange Dressing,"How often do we crave for something fresh that can be made quickly. Spinach & Apple Salad Recipe With Orange Dressing is just one recipe that you can make for times like those. It will become your all-time favorite salad which has. The salad has an interesting citrusy orange dressing with a hint of tabasco sauce. It is tossed over freshly washed spinach, cut apples and few segments of oranges.",Continental
